Parameter,Value,Lower,Upper,Distribution,Symbol,Source,Notes,Var,School,Change Status for Shiny
Emory Population,,,,,,,,,All,
Total students,15000,,,,,,,N,Emory,UnderInput
Students living on campus,4500,1575,4500,Uniform,,,ranges from (low) a room or apartment that results in housing to serve one person regardless of the number of rooms in the unit to (high) the number of beds Emory fills in a normal semester,N_on,Emory,UnderInput
Staff and faculty,15266,,,,,,,N_saf,Emory,UnderInput
UGA Population,,,,,,,,,All,
Total students,38920,,,,,,,N,UGA,UnderInput
Students living on campus,8400,,,,,,,N_on,UGA,UnderInput
Staff and faculty,10856,,,,,,,N_saf,UGA,UnderInput
Natural history and clinical,,,,,,,,,All,
Latent period (days),3,2,4,Gamma,,https://pubmed.ncbi.nlm.nih.gov/32150748/?from_term=lessler+covid&from_pos=1,,latent,All,AdvancedSetting
Infectious period (days),7,6,8,Gamma,,https://pubmed.ncbi.nlm.nih.gov/32291278/?from_term=kissler&from_pos=1,First day is asymptomatic,infectious,All,AdvancedSetting
Proportion severe - students,0.0224,0.0133,0.0456,Beta,,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30243-7/fulltext,Age standrdized to Emory,p_hosp_stu,All,AdvancedSetting
Proportion severe - staff/faculty,0.055,0.0327,0.1122,Beta,,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30243-7/fulltext,,p_hosp_saf,All,AdvancedSetting
Proportion fatal - students,0.0006,0.0003,0.0014,Uniform,,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30243-7/fulltext,,p_death_stu,All,AdvancedSetting
Proportion fatal - staff/faculty,0.0052,0.0029,0.0105,Uniform,,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30243-7/fulltext,,p_death_saf,All,AdvancedSetting
Proportion symptomatic - students,0.35,0.27,0.43,Beta,,https://cmmid.github.io/topics/covid19/reports/20200426-Main-Age_dependence_v2_BUNDLED.pdf,,p_sympt_stu,All,AdvancedSetting
Proportion symptomatic - staff/faculty,0.51,0.41,0.59,Beta,,https://cmmid.github.io/topics/covid19/reports/20200426-Main-Age_dependence_v2_BUNDLED.pdf,,p_sympt_saf,All,AdvancedSetting
Transmission,,,,,,,,,All,
student to student transmission,2,0.7,2.5,Uniform,,,,R0_student_to_student,All,SecondarySetting
extra transmission among on-campus students ,1,0.3,1.4,Uniform,,,,Rp_on_to_on,All,SecondarySetting
staff/faculty to students or staff/faculty,0.5,0.15,0.7,Uniform,,,,R0_saf,All,SecondarySetting
Daily rate of community introduction - Atlanta,0.0005,0.00025,0.001,Beta,,https://dph.georgia.gov/covid-19-daily-status-report,,community,Emory,SecondarySetting
Daily rate of community introduction - Athens,0.0005,0.00025,0.001,Beta,,https://dph.georgia.gov/covid-19-daily-status-report,,community,UGA,SecondarySetting
Efficacy of NPIs,0.7,0.36,0.86,Beta,,https://www.thelancet.com/action/showPdf?pii=S0140-6736%2820%2931142-9,assume 50% compliance,eff_npi,All,SecondarySetting
Testing and quarantine,,,,,,,,,All,
Time from onset of infectiousness to testing (1/days),2,7,1,Uniform,,,"First day is asymptomatic, so when this value is 2, testing is on first day of disease",testing,All,InterventionScenario
Screening frequency (1/days),30,120,1,Uniform,,,"Monthly, range is once per semester to daily",screening,All,InterventionScenario
Duration of quarantine (days),14,,,,,,,isolation,All,InterventionScenario
Number of contacts per case,14,12,16,Uniform,,Mossong et al; Prem et al,NEED Source,contacts,All,InterventionScenario
Proportion of contacts reached,0.75,0.5,1,Uniform,,,,p_contacts_reached,All,
Proportion experiencing ILI symptoms per day,0.00333,0.003,0.003667,Uniform,,Nichol et al; Guh et al,,ili,All,InterventionScenario
PCR Sensitivity ,,,,,,,,,All,
Day 2 of infectiousness,0.75,0.6,0.83,Beta,,https://www.acpjournals.org/doi/10.7326/M20-1495,,sensitivity_2,All,AdvancedSetting
Day 4 of infectiousness,0.8,0.7,0.85,Beta,,https://www.acpjournals.org/doi/10.7326/M20-1496,,sensitivity,All,AdvancedSetting
Day 7 of infectiousness,0.75,0.65,0.8,Beta,,https://www.acpjournals.org/doi/10.7326/M20-1497,,sensitivity_7,All,AdvancedSetting
